GEOID,County,Population,Pct_Rural,PrimCare_Rate,Pct_Uninsured,Premature_Deaths,Median_Income
31001,Adams,31363,28.5,82.1,10.2,312.4,54823
31003,Antelope,6298,100.0,47.6,13.5,388.2,52341
31005,Arthur,460,100.0,0.0,15.8,421.3,48750
31007,Banner,690,100.0,0.0,16.2,445.1,47230
31009,Blaine,478,100.0,0.0,17.1,468.7,44890
31011,Boone,5192,100.0,57.8,12.9,372.5,53210
31013,Box Butte,10983,62.3,54.6,13.8,401.2,49870
31015,Boyd,1896,100.0,52.7,15.3,412.8,46920
31017,Brown,2946,100.0,33.9,14.7,398.4,51340
31019,Buffalo,49659,18.4,101.3,9.8,287.6,57820
31021,Burt,6459,79.6,49.2,12.4,367.8,52650
31023,Butler,8394,69.8,60.1,11.8,341.2,56780
31025,Cass,26248,44.2,46.3,10.6,298.5,67340
31027,Cedar,8402,81.4,59.7,13.2,361.4,55120
31029,Chase,3924,100.0,50.9,14.1,387.6,53890
31031,Cherry,5834,100.0,34.2,15.6,421.8,50230
31033,Cheyenne,9398,48.7,63.5,12.7,352.3,54670
31035,Clay,6144,85.3,48.8,12.5,363.9,55840
31037,Colfax,10177,55.6,68.4,14.5,328.7,52340
31039,Cuming,8875,77.2,56.3,12.3,351.6,59870
31041,Custer,10838,73.4,55.0,13.9,374.2,52180
31043,Dakota,20026,31.8,74.8,13.6,342.5,50450
31045,Dawes,8589,53.4,58.2,13.1,369.4,48320
31047,Dawson,24848,41.6,80.6,13.4,335.8,52780
31049,Deuel,1794,100.0,55.7,14.8,403.2,50910
31051,Dixon,5702,82.1,52.4,13.3,356.7,54230
31053,Dodge,36644,30.5,88.4,9.9,301.2,58760
31055,Douglas,583166,5.2,118.7,8.3,253.4,68920
31057,Dundy,1693,100.0,59.1,15.2,398.1,52340
31059,Fillmore,5462,93.8,54.9,12.8,349.6,57210
31061,Franklin,2931,100.0,68.1,14.6,392.3,51780
31063,Frontier,2424,100.0,41.3,15.7,418.9,49870
